0	0	0	0	0	0	0	0	0	0	0	0	0	-7066352	
0	0	0	0	0	0	0	0	0	0	0	0	72147616	0	
0	0	0	0	0	0	0	0	0	0	0	-336961472	0	0	
0	0	0	0	0	0	0	0	0	0	952676512	0	0	0	
0	0	0	0	0	0	0	0	0	-1818094768	0	0	0	0	
0	0	0	0	0	0	0	0	2471704576	0	0	0	0	0	
0	0	0	0	0	0	0	-2461214464	0	0	0	0	0	0	
0	0	0	0	0	0	1816329024	0	0	0	0	0	0	0	
0	0	0	0	0	-992783696	0	0	0	0	0	0	0	0	
0	0	0	0	396699808	0	0	0	0	0	0	0	0	0	
0	0	0	-112569664	0	0	0	0	0	0	0	0	0	0	
0	0	21469728	0	0	0	0	0	0	0	0	0	0	0	
0	-2465552	0	0	0	0	0	0	0	0	0	0	0	0	
128704	0	0	0	0	0	0	0	0	0	0	0	0	0	
